Company,Description,Experience,Function Area,Job Title,Location,Posting Date,Salary,Scraping Date,Tags
SANDEEP CHAUDHARY AND ASSOCIATES , Roles and Responsibilities Handling of Accounts Finalization of Books of Accounts Good ...,1-3 Yrs,Accounting Jobs,Accountant - Income Tax & GST - Noida,Noida,4 Days Ago,"1,75,000 - 2,50,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Tally</li><li class=""fleft fs12 grey-text lh16 dot"">TDS</li><li class=""fleft fs12 grey-text lh16 dot"">accountant</li><li class=""fleft fs12 grey-text lh16 dot"">Accounting</li><li class=""fleft fs12 grey-text lh16 dot"">Finance</li><li class=""fleft fs12 grey-text lh16 dot"">Gst</li><li class=""fleft fs12 grey-text lh16 dot"">Accounts Finalisation</li><li class=""fleft fs12 grey-text lh16 dot"">Auditing</li></ul>"
Visakh Homes Limited," Job role: He/she should be responsible for :passing entries, maintaining ledger books, ...",0-2 Yrs,Accounting Jobs,"Accounts Executive,",Chennai,30+ Days Ago,"2,00,000 - 2,50,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Tally</li><li class=""fleft fs12 grey-text lh16 dot"">accounts executive</li><li class=""fleft fs12 grey-text lh16 dot"">accountant</li><li class=""fleft fs12 grey-text lh16 dot"">Accounting</li></ul>"
Teleperformance Global Services Pvt Ltd ," Shift: Rotational ( Including night shift)Qualification: B.COM, M.COMSalary: Freshers 3...",0-2 Yrs,Accounting Jobs,Hiring For French Executive For Accounts process- Bangalore,Bengaluru(Electronic City),15 Days Ago,"2,50,000 - 4,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Accounting</li><li class=""fleft fs12 grey-text lh16 dot"">Bcom</li><li class=""fleft fs12 grey-text lh16 dot"">MCOM</li><li class=""fleft fs12 grey-text lh16 dot"">French</li><li class=""fleft fs12 grey-text lh16 dot"">B1 level</li><li class=""fleft fs12 grey-text lh16 dot"">Night Shift</li><li class=""fleft fs12 grey-text lh16 dot"">B1</li></ul>"
Novartis Healthcare Pvt. Ltd.," Job Description -To provide services and support to more senior FSC colleagues, typical...",0-1 Yrs,Accounting Jobs,Specialist-Accounts Payable,Bengaluru,Today,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Operations management</li><li class=""fleft fs12 grey-text lh16 dot"">Claims</li><li class=""fleft fs12 grey-text lh16 dot"">Accounting</li><li class=""fleft fs12 grey-text lh16 dot"">Analytical</li><li class=""fleft fs12 grey-text lh16 dot"">Finance</li><li class=""fleft fs12 grey-text lh16 dot"">Customer service</li><li class=""fleft fs12 grey-text lh16 dot"">Outsourcing</li><li class=""fleft fs12 grey-text lh16 dot"">Finance control</li></ul>"
EF INFORMATION SYSTEMS PVT LTD , Good working knowledge of General Ledger Accounting and posting Manual Journal Entries ...,0-2 Yrs,Accounting Jobs,Accounts Executive,Bengaluru(Halasur),12 Days Ago,"2,00,000 - 2,25,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Excel</li><li class=""fleft fs12 grey-text lh16 dot"">Accounting</li></ul>"
ITCAN Pte Limited," Shift :Rotational shift ( including night shift)Qualification : B.COM, M.COMNote: Candi...",0-3 Yrs,Accounting Jobs,Hiring For french executive - Accounting process,Bengaluru(Electronic City),15 Days Ago,"3,00,000 - 4,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Bcom</li><li class=""fleft fs12 grey-text lh16 dot"">Level</li><li class=""fleft fs12 grey-text lh16 dot"">Marketing Communication</li><li class=""fleft fs12 grey-text lh16 dot"">B1</li></ul>"
TRIGENT SOFTWARE PRIVATE LIMITED, Shift: - Rotational shiftOnly 2017 / 2018/ 2019 batch pass out Candidates are EligibleQ...,0-0 Yrs,Accounting Jobs,Immediate Hiring For Accounts  Freshers in a big brand MNC Chennai,Chennai,14 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Bcom</li><li class=""fleft fs12 grey-text lh16 dot"">Bba</li><li class=""fleft fs12 grey-text lh16 dot"">General Accounting</li><li class=""fleft fs12 grey-text lh16 dot"">Hiring</li><li class=""fleft fs12 grey-text lh16 dot"">Interviewing</li></ul>"
RANDSTAD INDIA PVT LTD ," Shift- US shift, Key job responsibility includes verifying and processing invoices into...",0-2 Yrs,Accounting Jobs,Job Opening For Accounts P2P - Chennai Location,Chennai(Kandanchavadi),6 Days Ago,"1,00,000 - 2,50,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">P</li><li class=""fleft fs12 grey-text lh16 dot"">Accounting</li><li class=""fleft fs12 grey-text lh16 dot"">P2P</li></ul>"
Global Talent Track Private Limited  ," Dar Candidate, We have an urgent Account Executive(Inbound Voice Process) Openings In M...",0-2 Yrs,Accounting Jobs,"Account Executive Openings In MNC,Bangalore","Trichy, Chennai, Salem, Bengaluru, Hyderabad",2 Days Ago,"1,75,000 - 2,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Accounting</li><li class=""fleft fs12 grey-text lh16 dot"">GST</li><li class=""fleft fs12 grey-text lh16 dot"">tally</li></ul>"
Shakti Hormann Pvt. Ltd.," proficient in processing accounts payable transactions in SAP, verifying vendor and inv...",0-4 Yrs,Accounting Jobs,Accounts Executive,Hyderabad(Gagillapur),Today,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">excel</li><li class=""fleft fs12 grey-text lh16 dot"">tds</li><li class=""fleft fs12 grey-text lh16 dot"">accounts payable</li><li class=""fleft fs12 grey-text lh16 dot"">invoicing</li><li class=""fleft fs12 grey-text lh16 dot"">bills payable</li><li class=""fleft fs12 grey-text lh16 dot"">bills receivable</li><li class=""fleft fs12 grey-text lh16 dot"">tax returns</li><li class=""fleft fs12 grey-text lh16 dot"">gst</li></ul>"
